short_name,capacity,lon,name,station_id,lat,region_id,address
TA1308000046,11,-87.65114,Morgan St & 31st St,a3a9c0f6-a135-11e9-9cda-0a87ae2ba916,41.8378,,
TA1305000039,23,-87.66674637794495,Elston Ave & Cortland St,a3a48d5c-a135-11e9-9cda-0a87ae2ba916,41.91643342912655,,
TA1309000023,31,-87.653833,Sheffield Ave & Wrightwood Ave,a3aa35a4-a135-11e9-9cda-0a87ae2ba916,41.928712,,
15599,11,-87.616917925,Calumet Ave & 71st St,a3acea44-a135-11e9-9cda-0a87ae2ba916,41.76550800581,,
TA1307000121,19,-87.64664,Halsted St & Polk St,a3a565b1-a135-11e9-9cda-0a87ae2ba916,41.87184,,
13164,15,-87.656495,Racine Ave & 18th St,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,41.858166,,
16994,15,-87.74000823497772,Kilbourn Ave & Milwaukee Ave,a3b2c87c-a135-11e9-9cda-0a87ae2ba916,41.94707089418471,,
655,15,-87.681932,Hoyne Ave & Balmoral Ave,a3b477ac-a135-11e9-9cda-0a87ae2ba916,41.979851,,
528,11,-87.726491,Pulaski Rd & Lake St,a3b10a40-a135-11e9-9cda-0a87ae2ba916,41.885409,,
KA1503000041,31,-87.617854,McClurg Ct & Erie St,a3a614ad-a135-11e9-9cda-0a87ae2ba916,41.894503,,
13162,11,-87.6466029882431,Halsted St & 21st St,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,41.85377981072743,,
540,11,-87.755337,Laramie Ave & Madison St,a3b148bf-a135-11e9-9cda-0a87ae2ba916,41.880207,,
KA1504000171,23,-87.650154,Marine Dr & Ainslie St,a3af52bc-a135-11e9-9cda-0a87ae2ba916,41.9716,,
13134,15,-87.67493,Damen Ave & Madison St,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,41.88137,,
20121,15,-87.65841007232666,Loomis Blvd & 84th St,e63300bd-4ca3-4255-adfd-522289d68b8a,41.741486528618054,,
TA1307000006,19,-87.66360014677048,Southport Ave & Wellington Ave,a3a6c38e-a135-11e9-9cda-0a87ae2ba916,41.93577461766458,,
631,19,-87.673895,Malcolm X College,a3b3915a-a135-11e9-9cda-0a87ae2ba916,41.877618,,
22001,11,-87.63442039489746,Wells St & Institute Pl,90011328-f7bd-4b7b-8f95-8204a0b50f27,41.89737986072316,,
21360,15,-87.739557,Kilbourn Ave & Roscoe St,1869054242749504212,41.942722,,
16948,11,-87.664843,Ashland Ave & 63rd St,a3b23785-a135-11e9-9cda-0a87ae2ba916,41.779374,,
KA1504000091,11,-87.67718,Hoyne Ave & 47th St,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,41.808227,,
TA1307000149,19,-87.67393,Ravenswood Ave & Irving Park Rd,a3a8804b-a135-11e9-9cda-0a87ae2ba916,41.95469,,
KA1503000065,15,-87.5970051479,Woodlawn Ave & Lake Park Ave,a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,41.81409271048,,
537,11,-87.741018,Kenton Ave & Madison St,a3b13836-a135-11e9-9cda-0a87ae2ba916,41.880708,,
TA1309000042,15,-87.669435,Lincoln Ave & Melrose St,a3a5de24-a135-11e9-9cda-0a87ae2ba916,41.9406,,
643,15,-87.689397,Smith Park,a3b4399a-a135-11e9-9cda-0a87ae2ba916,41.892048,,
525,15,-87.666058,Glenwood Ave & Touhy Ave,a3b0fae6-a135-11e9-9cda-0a87ae2ba916,42.012701,,
15631,15,-87.7066499009,Troy St & Elston Ave,a3afd294-a135-11e9-9cda-0a87ae2ba916,41.94524356848,,
